,Unnamed: 0,SMILES,RATIO,DISCRETE_TARGET,Threshold1,Threshold2,Threshold3
0,0,NC1=CC=C2C(OC(C3=C2C4=CC=C(C5=CC=CC=C5)C=C4)=CC(C=C3)=O)=C1,13.04542675755077,0,1,1,1
1,1,CC1(C)C(/C=C/C=C/C=C2N(CCCCNS(=O)(C3=CC=C([N+]([O-])=O)C=C3)=O)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,12.8940610532512,0,1,1,1
2,2,NC1=CC=C2C(OC(C3=C2C4=CC=C(F)C=C4)=C/C(C=C3)=[N+](CCCC)/CCCC)=C1,12.022461575128819,0,1,1,1
3,3,NC1=CC=C2C(OC(C3=C2C4=CC=C(C)C=C4)=C/C(C=C3)=[N+](CCCC)/CCCC)=C1,11.76982931138355,0,1,1,1
4,4,NC1=CC=C2C(OC(C3=C2C4=CC=C5C(C=CC=C5)=C4)=C/C(C=C3)=[N+](CCCC)/CCCC)=C1,11.213617931022489,0,1,1,1
5,5,O=C(C)NC(C=C1)=CC=C1C(C2=CC=C(N3C=C(C4CC4)N=N3)N2[B-]5(F)F)=C6[N+]5=C(N(C)CC7=CC=CC=C7)C=C6,9.678589027940102,0,1,1,1
6,6,O=C(C)NC(C=C1)=CC=C1C(C2=CC=C(N3C=C(C(CCC)C)N=N3)N2[B-]4(F)F)=C5[N+]4=C(N(C)CC6=CC=CC=C6)C=C5,9.432105805909927,0,1,1,1
7,7,O=C(C)NC(C=C1)=CC=C1C(C2=CC=C(N3C=C(C4CCCC4)N=N3)N2[B-]5(F)F)=C6[N+]5=C(N(C)CC7=CC=CC=C7)C=C6,9.199668443158581,0,1,1,1
8,8,O=C(C)NC(C=C1)=CC=C1C(C2=CC=C(N3C=C(CO)N=N3)N2[B-]4(F)F)=C5[N+]4=C(N(C)CC6=CC=CC=C6)C=C5,8.97072402194994,0,1,1,1
9,9,O=C(C)NC(C=C1)=CC=C1C(C2=CC=C(N3C=C(CCC)N=N3)N2[B-]4(F)F)=C5[N+]4=C(NCC6=CC(OC)=CC=C6OC)C=C5,8.306847842259272,0,1,1,1
10,10,NC1=CC=C2C(OC(C3=C2C4=CC=C(N(C)C)C=C4)=CC(C=C3)=[NH2+])=C1,8.056301715951566,0,1,1,1
11,11,O=C(C)NC(C=C1)=CC=C1C(C2=CC=C(N3C=C(CC(C)C)N=N3)N2[B-]4(F)F)=C5[N+]4=C(N(C)CC6=CC=CC=C6)C=C5,7.781652630369692,0,1,1,1
12,12,O=C(C)NC(C=C1)=CC=C1C(C2=CC=C(N3C=C(CO)N=N3)N2[B-]4(F)F)=C5[N+]4=C(N(C)CC6=CC=CC=C6)C=C5,7.342297912335974,0,1,1,1
13,13,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(CC3=CC=CC4=C3C=CC=C4)=O)C(C=CC=C5)=C5C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C6=CC=CC=C61,7.320455303863477,0,1,1,1
14,14,O=C(C)NC(C=C1)=CC=C1C(C2=CC=C(N3C=C(N(CC4=CC=CC=C4)C)N=N3)N2[B-]5(F)F)=C6[N+]5=C(NCC7=CC(OC)=CC=C7OC)C=C6,7.18308427778835,0,1,1,1
15,15,O=C(C)NC(C=C1)=CC=C1C(C2=CC=C(N3C=C(C(O)CCCC)N=N3)N2[B-]4(F)F)=C5[N+]4=C(N(C)CC6=CC=CC=C6)C=C5,6.225366727672353,0,1,1,1
16,16,CC1(C)C(/C=C/C=C/C=C2N(CCCCC([O-])=O)C(C=CC=C3)=C3C/2(C)C)=[N+](CCCNC(C4=C(C5=CC=CC=C5)ON=C4C)=O)C6=CC=CC=C61,5.291670106833003,0,1,1,1
17,17,CC1(C)C(/C=C/C=C/C=C2N(CCCCC([O-])=O)C(C=CC=C3)=C3C/2(C)C)=[N+](CCCNC(C4=C(C)ON=C4C)=O)C5=CC=CC=C51,4.968671908663794,0,1,1,1
18,18,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(C3=C(NC4=CC=CC=C4)C=CC=C3)=O)C(C=CC=C5)=C5C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C6=CC=CC=C61,4.434766859182335,0,1,1,1
19,19,CC1=CC(/C=C/C2=CC=C(OC3=CC=C(C=O)C=C3)C=C2)=[N+]4[B-](F)(F)N5C(C(C6=CC=C(NC(CCl)=O)C=C6)=C41)=CC=C5,4.392759354767134,0,1,1,1
20,20,CC1(C)C(/C=C/C=C/C=C2N(CCCCC([O-])=O)C(C=CC=C3)=C3C/2(C)C)=[N+](CCCNC(C4=C(C)N(C5=CC=CC=C5)N=C4)=O)C6=CC=CC=C61,4.375632768227408,0,1,1,1
21,21,O=C(C)NC(C=C1)=CC=C1C(C2=CC=C(N3C=C(CO)N=N3)N2[B-]4(F)F)=C5[N+]4=C(N(C)CC6=CC=CC=C6)C=C5,4.274922262328936,0,1,1,1
