,Unnamed: 0,SMILES,RATIO,DISCRETE_TARGET,Threshold1,Threshold2,Threshold3
0,0,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=C(OC)C(Cl)=C5)C=C4)=CC=C2,12.35754792008336,0,1,1,1
1,1,CC(C)(C)c1ccc(C2c3ccc(N)cc3Sc3cc(N)ccc32)cc1,11.07507221641537,0,1,1,1
2,2,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(OC)c(F)c1,10.77192582466485,0,1,1,1
3,3,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC(C=CC=C6)=C6S5)C=C4)=CC=C2,10.24473527387825,0,1,1,1
4,4,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(C3CCC(C)CC3)=O)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,10.03253173382825,0,1,1,1
5,5,CC(=O)NCCC/[N+](C)=c1\ccc2c(-c3cccc(CN4CCOCC4)c3)c3ccc(-n4cc(C5CC5)nn4)cc3oc-2c1,9.979532084855991,0,1,1,1
6,6,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=C(OCCCC)C=C5)C=C4)=CC=C2,9.944568004565411,0,1,1,1
7,7,CC(=O)Nc1ccc(C2=C3C(C)=CC(/C=C/c4ccccc4OC(F)F)=[N+]3[B-](F)(F)n3cccc32)cc1,9.854204400582294,0,1,1,1
8,8,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(C3=C(NC4=CC=CC=C4)C=CC=C3)=O)C(C=CC=C5)=C5C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C6=CC=CC=C61,9.80771694862208,0,1,1,1
9,9,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(C3=C(OCC)C=CC=C3)=O)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,9.771341382266664,0,1,1,1
10,10,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(CCC(C)C)=O)C(C=CC=C3)=C3C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C4=CC=CC=C41,9.69903433217234,0,1,1,1
11,11,CC1(C)C(/C=C/C=C/C=C2N(CCCCNCC3=CC=C(OC)C=C3OC)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,9.550989604469958,0,1,1,1
12,12,CCCC(C)c1cn(-c2ccc3c(-c4cc(C)c(OC)c(C)c4)c4cc/c(=[N+](/C)CCCNC(C)=O)cc-4oc3c2)nn1,9.473894437957963,0,1,1,1
13,13,Nc1ccc2c(c1)Sc1cc(N)ccc1C2c1ccc(-c2ccccc2)cc1,9.344689660880503,0,1,1,1
14,14,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=C(C(OC)=O)C=C5)C=C4)=CC=C2,9.306500890423054,0,1,1,1
15,15,NC1=CC=C2C(OC(C3=C2C4=CC=C(F)C=C4)=C/C(C=C3)=[N+](CCCC)/CCCC)=C1,9.152171648267824,0,1,1,1
16,16,COc1cccc(C2c3ccc(N)cc3Oc3c2ccc2c3C(C)=CC(C)(C)N2)c1,9.115363198589023,0,1,1,1
17,17,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=C(OC6=CC=CC=C6)C=C5)C=C4)=CC=C2,9.104282963077068,0,1,1,1
18,18,CCCC(C)c1cn(-c2ccc3c(-c4ccc(F)c(C)c4)c4cc/c(=[N+](/C)CCCNC(C)=O)cc-4oc3c2)nn1,9.034860192533188,0,1,1,1
19,19,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=C(C6=CC=CC=C6)C=C5)C=C4)=CC=C2,8.993410278394167,0,1,1,1
20,20,Nc1ccc2c(c1)Sc1cc(N)ccc1C2c1cc2ccccc2c2ccccc12,8.964817969737938,0,1,1,1
21,21,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=C(C(C)(C)C)C=C5)C=C4)=CC=C2,8.94722063923209,0,1,1,1
22,22,CCCC(C)c1cn(-c2ccc3c(-c4ccc5cc(OC)ccc5c4)c4cc/c(=[N+](/C)CCCNC(C)=O)cc-4oc3c2)nn1,8.91700249822886,0,1,1,1
23,23,CC(=O)Nc1ccc(C2=C3C(C)=CC(/C=C/c4ccc(OCc5ccc(Br)cc5)cc4)=[N+]3[B-](F)(F)n3cccc32)cc1,8.88606231863631,0,1,1,1
24,24,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=C(C)C=CC6=C5C=CC=C6)C=C4)=CC=C2,8.80344277618533,0,1,1,1
25,25,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC=C(C)C=C5Br)C=C4)=CC=C2,8.789573897552449,0,1,1,1
26,26,CC(=O)Nc1ccc(C2=C3C(C)=CC(C=Cc4ccc(OCC(=O)O)cc4)=[N+]3[B-](F)(F)n3cccc32)cc1,8.743230022277139,0,1,1,1
27,27,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(C3=CC=C(N(CC)CC)C=C3)=O)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,8.713556534457771,0,1,1,1
28,28,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=C(O)C(OC)=CC(Cl)=C5)C=C4)=CC=C2,8.64102483847216,0,1,1,1
29,29,CCCc1ccc(C2c3ccc(N)cc3Oc3cc(NCC)ccc32)cc1,8.50550979573404,0,1,1,1
30,30,F[B-]1(F)N2C(C(C3=CC=C(NC(C)=O)C=C3)=C4[N+]1=C(/C=C/C5=CC(OC)=C(OC)C(Br)=C5)C=C4)=CC=C2,8.500085382623633,0,1,1,1
