,Unnamed: 0,SMILES,RATIO,DISCRETE_TARGET,Threshold1,Threshold2,Threshold3
0,0,CC1=CC(C)(C)Nc2ccc3c(c21)Oc1cc(N)ccc1C3c1ccc(C(C)(C)C)cc1,1.618072551,3,0,0,0
1,1,CC1=CC(C)(C)Nc2ccc3c(c21)Oc1cc(N)ccc1C3c1ccc(Cl)s1,1.019762976213734,3,0,0,0
2,2,COc1ccc(C2c3ccc(N)cc3Sc3cc(N)ccc32)cc1OC,1.092224307598172,3,0,0,0
3,3,Nc1ccc2c(c1)Sc1cc(N)ccc1C2c1ccccc1,4.55152916823372,0,1,1,1
4,4,Nc1ccc2c(c1)Sc1cc(N)ccc1C2c1ccccc1,2.439048168944565,3,0,0,0
5,5,COc1ccc2cc(C3c4ccc(N)cc4Oc4c3ccc3c4C(C)=CC(C)(C)N3)ccc2c1,0.9875592455986024,3,0,0,0
6,6,Nc1ccc2c(c1)Sc1cc(N)ccc1C2c1cccc(CN2CCOCC2)c1,1.1268084304323969,3,0,0,0
7,7,CC(C)(C)c1ccc(C2c3ccc(N)cc3Sc3cc(N)ccc32)cc1,3.5831636389730863,1,0,1,1
8,8,CC(C)(C)c1ccc(C2c3ccc(N)cc3Sc3cc(N)ccc32)cc1,3.088398986169168,2,0,0,1
9,9,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1cccc(CN2CCCCC2)c1,3.1115453395958967,2,0,0,1
10,10,CC1=CC(C)(C)Nc2ccc3c(c21)Oc1cc(N)ccc1C3c1cccc(Cl)c1,2.433485195354003,3,0,0,0
11,11,CCCc1ccc(C2c3ccc(N)cc3Sc3cc(N)ccc32)cc1,1.078533348141164,3,0,0,0
12,12,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1cccc(CN2CCOCC2)c1,4.388585098884345,1,0,1,1
13,13,COc1ccc(C2c3ccc(N)cc3Oc3c2ccc2c3C(C)=CC(C)(C)N2)cc1,1.0928643610936228,3,0,0,0
14,14,Nc1ccc2c(c1)Sc1cc(N)ccc1C2c1cccs1,1.1116661170572455,3,0,0,0
15,15,Nc1ccc2c(c1)Sc1cc(N)ccc1C2c1ccc(Oc2ccccc2)cc1,2.693617295219099,3,0,0,0
16,16,CCCc1ccc(C2c3ccc(N)cc3Oc3cc(NCC)ccc32)cc1,3.930845335401116,1,0,1,1
17,17,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(C2OCCCO2)cc1,0.994135965117657,3,0,0,0
18,18,CC1=CC(C)(C)Nc2ccc3c(c21)Oc1cc(N)ccc1C3c1ccc(F)c(C)c1,1.5883338783696983,3,0,0,0
19,19,CC1=CC(C)(C)Nc2ccc3c(c21)Oc1cc(N)ccc1C3c1ccc2c(c1)OCO2,2.040562174479716,3,0,0,0
20,20,CC1=CC(C)(C)Nc2ccc3c(c21)Oc1cc(N)ccc1C3c1ccc(N(C)C)cc1,1.063124918193214,3,0,0,0
21,21,CC1=CC(C)(C)Nc2ccc3c(c21)Oc1cc(N)ccc1C3c1ccc(N(C)C)cc1,1.047419695506244,3,0,0,0
22,22,CC1=CC(C)(C)Nc2ccc3c(c21)Oc1cc(N)ccc1C3c1ccc(N(C)C)cc1,1.107701311714804,3,0,0,0
23,23,Nc1ccc2c(c1)Sc1cc(N)ccc1C2c1cccc(Cl)c1,0.9979881170536856,3,0,0,0
24,24,Nc1ccc2c(c1)Sc1cc(N)ccc1C2c1cc2ccccc2c2ccccc12,2.9083686627698464,2,0,0,1
25,25,Nc1ccc2c(c1)Sc1cc(N)ccc1C2c1cc2ccccc2c2ccccc12,5.9975558980960635,0,1,1,1
26,26,CC1=CC(C)(C)Nc2ccc3c(c21)Oc1cc(N)ccc1C3c1ccc(CN2CCCC2)cc1,1.037717658,3,0,0,0
27,27,COc1ccc(C2c3ccc(N)cc3Oc3c2ccc2c3C(C)=CC(C)(C)N2)cc1F,1.35691476276597,3,0,0,0
28,28,COc1cccc(C2c3ccc(N)cc3Oc3c2ccc2c3C(C)=CC(C)(C)N2)c1,2.210006897593343,3,0,0,0
29,29,CC1=CC(C)(C)Nc2ccc3c(c21)Oc1cc(N)ccc1C3c1ccc(F)cc1,1.104483008211104,3,0,0,0
30,30,Nc1ccc2c(c1)Sc1cc(N)ccc1C2c1cccc(F)c1,1.043643950598839,3,0,0,0
31,31,CN(C)c1ccc(C2c3ccc(N)cc3Sc3cc(N)ccc32)cc1,3.801401947716387,1,0,1,1
32,32,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(F)c(C)c1,0.9940208952238496,3,0,0,0
33,33,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1cccc(F)c1,0.9997442171912349,3,0,0,0
34,34,COc1c(C)cc(C2c3ccc(N)cc3Oc3c2ccc2c3C(C)=CC(C)(C)N2)cc1C,1.126460386080299,3,0,0,0
35,35,CC1=CC(C)(C)Nc2ccc3c(c21)Oc1cc(N)ccc1C3c1cc(C)cc(C)c1,2.4630912990000002,3,0,0,0
36,36,Nc1ccc2c(c1)Sc1cc(N)ccc1C2c1ccc(CN2CCCC2)cc1,1.059510536147053,3,0,0,0
37,37,COc1ccc(C2c3ccc(N)cc3Sc3cc(N)ccc32)cc1F,1.0834363186841691,3,0,0,0
38,38,Nc1ccc2c(c1)Sc1cc(N)ccc1C2c1ccc(-c2ccccc2)cc1,3.366879014479905,2,0,0,1
39,39,Nc1ccc2c(c1)Sc1cc(N)ccc1C2c1ccc(-c2ccccc2)cc1,3.218502542622332,2,0,0,1
40,40,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(OC)c(F)c1,4.02495807347888,1,0,1,1
41,41,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc2c(c1)OCO2,1.2531483677781479,3,0,0,0
42,42,COc1ccc(C2c3ccc(N)cc3Oc3c2ccc2c3C(C)=CC(C)(C)N2)cc1OC,1.211394908538795,3,0,0,0
43,43,CC1=CC(C)(C)Nc2ccc3c(c21)Oc1cc(N)ccc1C3c1ccccc1,1.6596623505658732,3,0,0,0
44,44,CC1=CC(C)(C)Nc2ccc3c(c21)Oc1cc(N)ccc1C3c1ccc2ccccc2c1,1.036069955297567,3,0,0,0
45,45,Nc1ccc2c(c1)Sc1cc(N)ccc1C2c1ccc(CN2CCCCC2)cc1,1.061474661540722,3,0,0,0
46,46,COc1ccc(C2c3ccc(N)cc3Sc3cc(N)ccc32)cc1F,1.1448100922953692,3,0,0,0
47,47,Cc1cc(C)cc(C2c3ccc(N)cc3Sc3cc(N)ccc32)c1,2.9376660107769417,2,0,0,1
48,48,CSc1ccc(C2c3ccc(N)cc3Sc3cc(N)ccc32)cc1,3.0963847601172882,2,0,0,1
49,49,CC1=CC(C)(C)Nc2ccc3c(c21)Oc1cc(N)ccc1C3c1cccc(CN2CCOCC2)c1,2.090350567667982,3,0,0,0
50,50,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(OC2CCCCO2)cc1,1.477749315249101,3,0,0,0
51,51,COc1ccc(C2c3ccc(N)cc3N(C)c3cc(N(C)C)ccc32)cc1F,1.100337013105201,3,0,0,0
52,52,COc1ccc(C2c3ccc(N)cc3Oc3cc(N4CCCCC4)ccc32)cc1OC,0.9988781914475372,3,0,0,0
53,53,Cc1ccc(C2c3ccc(N)cc3Oc3cc(O)ccc32)cc1,1.042015707612302,3,0,0,0
54,54,CN(C)c1ccc2c(c1)N(C)c1cc(N)ccc1C2c1cccc(Cl)c1,1.072118046625246,3,0,0,0
55,55,CN(C)c1ccc2c(c1)N(C)c1cc(N)ccc1C2c1ccc(C(C)(C)C)cc1,1.079421092870551,3,0,0,0
56,56,Nc1ccc2c(c1)Oc1cc(N3CCCCC3)ccc1C2c1ccc(C2OCCCO2)cc1,1.0102555018240291,3,0,0,0
57,57,Cc1cc(C2c3ccc(N)cc3Oc3cc(O)ccc32)ccc1F,1.6824931682201418,3,0,0,0
58,58,COc1ccc2cc(C3c4ccc(N)cc4N(C)c4cc(N(C)C)ccc43)ccc2c1,2.67367155264689,3,0,0,0
59,59,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc2cc(OC)ccc2c1,1.1364588024020679,3,0,0,0
60,60,Nc1ccc2c(c1)Oc1cc(O)ccc1C2c1ccc(Oc2ccccc2)cc1,1.107472522490402,3,0,0,0
61,61,Nc1ccc2c(c1)Oc1cc(N3CCCCC3)ccc1C2c1ccc(CN2CCCC2)cc1,1.210062356359678,3,0,0,0
62,62,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc2ccccc2c1,1.00006880734494,3,0,0,0
63,63,CN(C)c1ccc2c(c1)N(C)c1cc(N)ccc1C2c1cccs1,1.367509178857739,3,0,0,0
64,64,COc1c(C)cc(C2c3ccc(N)cc3N(C)c3cc(N(C)C)ccc32)cc1C,2.0526310988719882,3,0,0,0
65,65,CN(C)c1ccc2c(c1)N(C)c1cc(N)ccc1C2c1cccc(CN2CCOCC2)c1,1.0768810640978501,3,0,0,0
66,66,CN(C)c1ccc2c(c1)N(C)c1cc(N)ccc1C2c1ccccc1,1.0359543505131852,3,0,0,0
67,67,CN(C)c1ccc2c(c1)N(C)c1cc(N)ccc1C2c1ccc(OC2CCCCO2)cc1,1.151783760102777,3,0,0,0
68,68,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(Oc2ccccc2)cc1,1.130686708188049,3,0,0,0
69,69,CN(C)c1ccc2c(c1)N(C)c1cc(N)ccc1C2c1ccc(CN2CCCC2)cc1,1.140494063487675,3,0,0,0
70,70,CCCc1ccc(C2c3ccc(N)cc3N(C)c3cc(N(C)C)ccc32)cc1,1.5747743018164668,3,0,0,0
71,71,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(-c2ccccc2)cc1,1.8145717955404896,3,0,0,0
72,72,COc1ccc2cc(C3c4ccc(N)cc4Oc4cc(O)ccc43)ccc2c1,1.0656779130379308,3,0,0,0
73,73,CN(C)c1ccc2c(c1)N(C)c1cc(N)ccc1C2c1ccc(-c2ccccc2)cc1,1.091836523358623,3,0,0,0
74,74,COc1c(C)cc(C2c3ccc(N)cc3Oc3cc(N4CCCCC4)ccc32)cc1C,1.177591943706421,3,0,0,0
75,75,COc1ccc(C2c3ccc(N)cc3Oc3cc(O)ccc32)cc1F,1.14525622045294,3,0,0,0
76,76,Cc1ccc(C2c3ccc(N)cc3Oc3cc(N4CCCCC4)ccc32)cc1,1.5799657449965858,3,0,0,0
77,77,CCNc1ccc2c(c1)Oc1cc(N)ccc1C2c1ccc(N(C)C)cc1,1.082499540187045,3,0,0,0
78,78,Nc1ccc2c(c1)Oc1cc(O)ccc1C2c1ccc2c(c1)OCO2,1.007342522939797,3,0,0,0
