,Unnamed: 0,Unnamed: 0.1,Partition Ratio,SMILES,Rank,HighThreshold,MediumThreshold,LowThreshold,scaffold
0,0,0,10.84827993393098,CC1(C)C(/C=C/C=C/C=C2N(CCCCNS(C3=CC=C(C)C=C3)(=O)=O)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,1,1,0,0,O=S(=O)(NCCCCN1C(=CC=CC=CC2=[NH+]c3ccccc3C2)Cc2ccccc21)c1ccccc1
1,1,1,10.50346285354737,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC3=CC=CC=C3C(C)=O)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,2,1,0,0,C(=CC=C1Cc2ccccc2N1CCCCNc1ccccc1)C=CC1=[NH+]c2ccccc2C1
2,2,2,9.770484512489835,CCCCCCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])cc1,3,1,0,0,[BH2-]1n2c(C=Cc3ccccc3)ccc2C=C2C=CC=[N+]12
3,3,3,8.966761026412833,CC1=CC(/C=C/C2=CC=C(C3=CC=CC=C3)O2)=[N+]4[B-](F)(F)N5C(C(C6=CC=C(NC(C)=O)C=C6)=C41)=CC=C5,4,1,0,0,[BH2-]1n2cccc2C(c2ccccc2)=C2C=CC(C=Cc3ccc(-c4ccccc4)o3)=[N+]12
4,4,4,8.945182414799872,CC1(C)C(/C=C/C=C/C=C2N(CCCCNS(=O)(C3=CC=C([N+]([O-])=O)C=C3)=O)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,5,1,0,0,O=S(=O)(NCCCCN1C(=CC=CC=CC2=[NH+]c3ccccc3C2)Cc2ccccc21)c1ccccc1
5,5,5,8.778654572541003,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC3=CC=C(OCO4)C4=C3)C(C=CC=C5)=C5C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C6=CC=CC=C61,6,1,0,0,C(=CC=C1Cc2ccccc2N1CCCCNc1ccc2c(c1)OCO2)C=CC1=[NH+]c2ccccc2C1
6,6,6,8.749532461136354,CC1(C)C(/C=C/C=C/C=C2N(CCCCNS(=O)(C3=CC=C(F)C(F)=C3)=O)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,7,1,0,0,O=S(=O)(NCCCCN1C(=CC=CC=CC2=[NH+]c3ccccc3C2)Cc2ccccc21)c1ccccc1
7,7,7,8.736580497091731,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(C3=CSC=C3)=O)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,8,1,0,0,O=C(NCCCCN1C(=CC=CC=CC2=[NH+]c3ccccc3C2)Cc2ccccc21)c1ccsc1
8,8,8,8.695993739656906,CC1(C)C(/C=C/C=C/C=C2N(CCCCNC(C3=CC=NC=C3)=O)C(C=CC=C4)=C4C/2(C)C)=[N+](CCCNC(OC(C)(C)C)=O)C5=CC=CC=C51,9,1,0,0,O=C(NCCCCN1C(=CC=CC=CC2=[NH+]c3ccccc3C2)Cc2ccccc21)c1ccncc1
9,9,9,8.284304511409703,COC1=CC2=CC=C(/C=C/C3=CC=C4C5=C3C=CC6=C5C(CC=C6)=CC4)[N+](C)=C2C=C1,10,1,0,0,C1=Cc2ccc3c(C=Cc4ccc5ccccc5[nH+]4)ccc4c3c2C(=CC4)C1
