,SMILES
0,C=CCOc1ccccc1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2CC[NH3+]
1,Cc1cc(/C=C/c2cc(Br)cc3c2OCO3)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F
2,Cc1cc(/C=C/c2ccco2)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F
3,COc1ccc(Br)cc1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2CC[NH3+]
4,Cc1cc(C)c(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])cc1C
5,CCOc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])ccc1O
6,Cc1cc(/C=C/c2ccc(Br)s2)n2c1C(CCNC(=O)CCl)=C1C=CC=[N+]1[B-]2(F)F
7,COc1cccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CCNC(=O)CCl)c1O
8,COc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])c(OC)c1C
9,CCCCOc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])cc1
10,COc1ccc2ccccc2c1/C=C/c1cc(C)c2n1[B-](F)(F)[N+]1=CC=CC1=C2CC[NH3+]
11,Cc1ccc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CCNC(=O)CCl)o1
12,COc1cc(/C=C/c2cc(C)c3n2[B-](F)(F)[N+]2=CC=CC2=C3CC[NH3+])c(OCc2ccccc2)cc1OC
13,Cc1cc(/C=C/c2ccc(-c3ccc(Cl)cc3)o2)n2c1C(CC[NH3+])=C1C=CC=[N+]1[B-]2(F)F
